snapshot_id,case_id,flight_id,airline,depart_airport,arrive_airport,depart_datetime,arrive_datetime,duration_minutes,stops,baggage_included,price_usd,availability_status,captured_at,data_quality
SNAP-9019,CASE-1010,FL-DEMO-519,Aurora Air,AUS,CDG,2026-07-30T19:00:00-05:00,2026-07-31T13:40:00+02:00,700,1,yes,1865,available,2026-07-28T14:00:00-05:00,verified
SNAP-9020,CASE-1010,FL-DEMO-520,Blue Comet,AUS,CDG,2026-07-30T21:20:00-05:00,2026-07-31T16:00:00+02:00,700,1,yes,1940,available,2026-07-28T14:00:00-05:00,verified
SNAP-9021,CASE-1011,FL-DEMO-521,Suntrail Airways,AUS,CDG,2026-07-30T20:05:00-05:00,2026-07-31T14:35:00+02:00,690,1,yes,1820,available,2026-07-26T12:20:00-05:00,inconsistent
SNAP-9022,CASE-1011,FL-DEMO-521,Suntrail Airways,AUS,CDG,2026-07-30T20:05:00-05:00,2026-07-31T14:35:00+02:00,690,1,yes,1820,withdrawn,2026-07-26T12:22:00-05:00,inconsistent
SNAP-9023,CASE-1012,FL-DEMO-522,Cloudline Air,AUS,CDG,2026-07-30T18:25:00-05:00,2026-07-31T12:15:00+02:00,670,1,yes,1860,available,2026-07-26T12:40:00-05:00,verified
SNAP-9024,CASE-1012,FL-DEMO-523,Violet Jet,AUS,CDG,2026-07-30T21:45:00-05:00,2026-07-31T17:05:00+02:00,740,1,yes,1905,available,2026-07-26T12:40:00-05:00,verified
SNAP-9025,CASE-1013,FL-DEMO-524,Aurora Air,AUS,CDG,2026-07-30T18:00:00-05:00,2026-07-31T10:50:00+02:00,650,0,yes,2380,available,2026-07-26T13:00:00-05:00,verified
SNAP-9026,CASE-1013,FL-DEMO-525,Blue Comet,AUS,CDG,2026-07-30T20:15:00-05:00,2026-07-31T14:30:00+02:00,675,1,yes,1995,available,2026-07-26T13:00:00-05:00,verified
SNAP-9027,CASE-1014,FL-DEMO-526,Pioneer Wings,AUS,CDG,2026-07-30T08:20:00-05:00,2026-07-31T01:05:00+02:00,645,1,yes,1650,available,2026-07-26T13:20:00-05:00,verified
SNAP-9028,CASE-1014,FL-DEMO-527,Cloudline Air,AUS,CDG,2026-07-30T22:40:00-05:00,2026-07-31T18:10:00+02:00,750,1,yes,1985,available,2026-07-26T13:20:00-05:00,verified
SNAP-9029,CASE-1015,FL-DEMO-528,Suntrail Airways,AUS,CDG,2026-07-30T19:30:00-05:00,2026-07-31T14:10:00+02:00,700,1,yes,1990,available,2026-07-26T13:45:00-05:00,verified
SNAP-9030,CASE-1015,FL-DEMO-529,Violet Jet,AUS,CDG,2026-07-30T21:10:00-05:00,2026-07-31T16:50:00+02:00,760,1,yes,2015,available,2026-07-26T13:45:00-05:00,verified
