snapshot_id,case_id,flight_id,airline,depart_airport,arrive_airport,depart_datetime,arrive_datetime,return_depart_datetime,return_arrive_datetime,duration_minutes,stops,baggage_included,price_usd,availability_status,captured_at,data_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9011,CASE-1006,FL-DEMO-511,Aurora Air,AUS,CDG,2026-08-25T20:10:00-05:00,2026-08-26T12:55:00+02:00,2026-08-30T16:45:00+02:00,2026-08-30T22:10:00-05:00,645,1,yes,1840,available,2026-08-18T13:10:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9012,CASE-1006,FL-DEMO-512,Blue Comet,AUS,CDG,2026-08-25T18:35:00-05:00,2026-08-26T11:20:00+02:00,2026-08-30T18:15:00+02:00,2026-08-30T23:45:00-05:00,640,1,yes,1925,available,2026-08-18T14:17:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9013,CASE-1007,FL-DEMO-513,Suntrail Airways,AUS,CDG,2026-08-26T19:10:00-05:00,2026-08-27T14:05:00+02:00,2026-08-31T09:10:00+02:00,2026-08-31T15:55:00-05:00,715,1,yes,1695,sold_out,2026-08-19T09:24:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9014,CASE-1007,FL-DEMO-514,Blue Comet,AUS,CDG,2026-08-26T20:20:00-05:00,2026-08-27T15:00:00+02:00,2026-08-31T10:35:00+02:00,2026-08-31T17:40:00-05:00,700,1,yes,1875,available,2026-08-19T10:31:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9015,CASE-1008,FL-DEMO-515,Violet Jet,AUS,CDG,2026-08-27T20:30:00-05:00,2026-08-28T14:25:00+02:00,2026-09-01T12:20:00+02:00,2026-09-01T19:05:00-05:00,675,1,no,1680,available,2026-08-19T11:38:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9016,CASE-1008,FL-DEMO-516,Aurora Air,AUS,CDG,2026-08-27T19:45:00-05:00,2026-08-28T13:55:00+02:00,2026-09-01T14:05:00+02:00,2026-09-01T20:35:00-05:00,690,1,yes,1935,available,2026-08-19T12:45:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9017,CASE-1009,FL-DEMO-517,Cloudline Air,AUS,CDG,2026-08-28T21:00:00-05:00,2026-08-29T15:10:00+02:00,2026-09-02T16:45:00+02:00,2026-09-02T22:10:00-05:00,690,1,yes,1745,available,2026-08-20T13:52:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9018,CASE-1009,FL-DEMO-518,Pioneer Wings,AUS,CDG,2026-08-28T18:10:00-05:00,2026-08-29T11:50:00+02:00,2026-09-02T18:15:00+02:00,2026-09-02T23:45:00-05:00,640,1,yes,1890,available,2026-08-20T14:59:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9019,CASE-1010,FL-DEMO-519,Aurora Air,AUS,CDG,2026-08-29T19:00:00-05:00,2026-08-30T13:40:00+02:00,2026-09-03T09:10:00+02:00,2026-09-03T15:55:00-05:00,700,1,yes,1865,available,2026-08-20T09:06:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9020,CASE-1010,FL-DEMO-520,Blue Comet,AUS,CDG,2026-08-29T21:20:00-05:00,2026-08-30T16:00:00+02:00,2026-09-03T10:35:00+02:00,2026-09-03T17:40:00-05:00,700,1,yes,1940,available,2026-08-20T10:13:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9021,CASE-1011,FL-DEMO-521,Suntrail Airways,AUS,CDG,2026-08-30T20:05:00-05:00,2026-08-31T14:35:00+02:00,2026-09-04T12:20:00+02:00,2026-09-04T19:05:00-05:00,690,1,yes,1820,available,2026-08-21T11:20:00-05:00,inconsistent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9022,CASE-1011,FL-DEMO-521,Suntrail Airways,AUS,CDG,2026-08-30T20:05:00-05:00,2026-08-31T14:35:00+02:00,2026-09-04T14:05:00+02:00,2026-09-04T20:35:00-05:00,690,1,yes,1820,withdrawn,2026-08-21T12:27:00-05:00,inconsistent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9023,CASE-1012,FL-DEMO-522,Cloudline Air,AUS,CDG,2026-08-31T18:25:00-05:00,2026-09-01T12:15:00+02:00,,,670,1,yes,1860,available,2026-08-21T13:34:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9024,CASE-1012,FL-DEMO-523,Violet Jet,AUS,CDG,2026-08-31T21:45:00-05:00,2026-09-01T17:05:00+02:00,,,740,1,yes,1905,available,2026-08-21T14:41:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9025,CASE-1013,FL-DEMO-524,Aurora Air,AUS,CDG,2026-09-02T18:00:00-05:00,2026-09-03T10:50:00+02:00,2026-09-07T09:10:00+02:00,2026-09-07T15:55:00-05:00,650,0,yes,2380,available,2026-08-22T09:48:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9026,CASE-1013,FL-DEMO-525,Blue Comet,AUS,CDG,2026-09-02T20:15:00-05:00,2026-09-03T14:30:00+02:00,2026-09-07T10:35:00+02:00,2026-09-07T17:40:00-05:00,675,1,yes,1995,available,2026-08-22T10:55:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9027,CASE-1014,FL-DEMO-526,Pioneer Wings,AUS,CDG,2026-08-20T08:20:00-05:00,2026-08-21T01:05:00+02:00,2026-08-25T12:20:00+02:00,2026-08-25T19:05:00-05:00,645,1,yes,1650,available,2026-08-22T11:02:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9028,CASE-1014,FL-DEMO-527,Cloudline Air,AUS,CDG,2026-08-20T22:40:00-05:00,2026-08-21T18:10:00+02:00,2026-08-25T14:05:00+02:00,2026-08-25T20:35:00-05:00,750,1,yes,1985,available,2026-08-22T12:09:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9029,CASE-1015,FL-DEMO-528,Suntrail Airways,AUS,CDG,2026-09-05T19:30:00-05:00,2026-09-06T14:10:00+02:00,2026-09-10T16:45:00+02:00,2026-09-10T22:10:00-05:00,700,1,yes,1990,available,2026-08-23T13:16:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9030,CASE-1015,FL-DEMO-529,Violet Jet,AUS,CDG,2026-09-05T21:10:00-05:00,2026-09-06T16:50:00+02:00,2026-09-10T18:15:00+02:00,2026-09-10T23:45:00-05:00,760,1,yes,2015,available,2026-08-23T14:23:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9031,CASE-1016,FL-DEMO-530,Aurora Air,AUS,CDG,2026-07-30T19:40:00-05:00,2026-07-31T13:05:00+02:00,2026-08-04T11:25:00+02:00,2026-08-04T18:15:00-05:00,665,1,yes,1785,available,2026-07-29T09:30:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
